学号,姓名,考试名称,语文,数学,英语,物理,化学
S2023100,魏秀芳,月考2,68,42,48,78,52
S2023101,杨雪,月考2,41,88,81,67,40
S2023102,贾莉,月考2,44,58,43,66,40
S2023103,张东,月考2,47,54,58,49,50
S2023104,张波,月考2,46,43,40,65,68
S2023105,魏明,月考2,53,57,60,87,57
S2023106,张荣,月考2,46,71,53,43,91
S2023107,何桂花,月考2,60,78,40,47,77
S2023108,李丽华,月考2,69,50,51,85,50
S2023109,王佳,月考2,40,64,40,70,69
S2023110,钟宁,月考2,40,58,88,40,74
S2023111,王冬梅,月考2,40,46,57,40,74
S2023112,萧博,月考2,60,56,62,78,61
S2023113,乔桂英,月考2,67,49,51,46,61
S2023114,梁华,月考2,59,75,73,44,74
S2023115,马英,月考2,55,86,62,100,51
S2023116,林秀云,月考2,64,48,63,74,53
S2023117,陈红,月考2,85,57,53,42,61
S2023118,张丽丽,月考2,68,53,53,65,48
S2023119,沈娜,月考2,65,66,57,65,40
S2023120,林欢,月考2,40,48,40,40,70
S2023121,陈伟,月考2,53,68,52,94,44
S2023122,李杨,月考2,47,56,62,88,59
S2023123,彭娟,月考2,69,58,73,61,43
S2023124,楼帆,月考2,62,87,40,48,49
S2023125,汪小红,月考2,40,43,41,65,58
S2023126,李玉梅,月考2,66,57,83,71,77
S2023127,李波,月考2,68,71,66,90,59
S2023128,齐小红,月考2,40,40,47,58,83
S2023129,米冬梅,月考2,40,40,45,92,71
S2023130,王杨,月考2,61,40,75,61,65
S2023131,赖想,月考2,48,40,58,52,64
S2023132,毛波,月考2,57,51,45,58,71
S2023133,梅丹,月考2,76,81,65,77,52
S2023134,程刚,月考2,53,55,49,51,51
S2023135,王洁,月考2,46,42,86,67,49
S2023136,王颖,月考2,40,60,77,45,65
S2023137,潘佳,月考2,81,40,65,84,82
S2023138,宋佳,月考2,40,66,64,45,79
S2023139,陈建平,月考2,57,66,40,61,62
